hex_id,price_mean,price_median,n,z_r,qtile
88446c3505fffff,3.6999999999999997,3.6999999999999997,1,2.1999999999999997,3.0
88446caeddfffff,3.6399999999999997,3.6399999999999997,1,2.1399999999999997,3.0
88446ca911fffff,3.6399999999999997,3.6399999999999997,1,2.1399999999999997,3.0
88446c3419fffff,3.6399999999999997,3.6399999999999997,1,2.1399999999999997,3.0
88446c3345fffff,3.6399999999999997,3.6399999999999997,1,2.1399999999999997,3.0
88446ca957fffff,3.4,3.4,1,1.9,3.0
88446c3769fffff,3.4,3.4,1,1.9,3.0
88446ca58bfffff,3.4,3.4,1,1.9,3.0
88446ca507fffff,3.4,3.4,1,1.9,3.0
88446ca19dfffff,3.4,3.4,1,1.9,3.0
88446caad5fffff,3.4,3.4,1,1.9,3.0
88446cac15fffff,3.4,3.4,1,1.9,3.0
88446cac0bfffff,3.4,3.4,1,1.9,3.0
88446c32cdfffff,3.4,3.4,1,1.9,3.0
88446c0e07fffff,3.4,3.4,1,1.9,3.0
